VDD Cap Spikes Frequency Energy_Per_Spike
0.4 7e-15 2 1E+08 8.99345E-18
0.4 8e-15 2 1E+08 9.77398E-18
0.4 9e-15 2 1E+08 1.03745E-17
0.4 10e-15 2 1E+08 1.05464E-17
0.41 0.125e-15 48 2.4E+09 1.68169E-18
0.41 0.25e-15 29 1.45E+09 1.80389E-18
0.41 0.5e-15 16 8E+08 2.42363E-18
0.41 1e-15 9 4.5E+08 3.49588E-18
0.41 2e-15 4 2E+08 6.09174E-18
0.41 3e-15 3 1.5E+08 6.8665E-18
0.41 4e-15 3 1.5E+08 7.84306E-18
0.41 5e-15 2 1E+08 8.9615E-18
0.41 6e-15 2 1E+08 9.73768E-18
0.41 7e-15 2 1E+08 9.81035E-18
0.41 8e-15 2 1E+08 1.06206E-17
0.41 9e-15 2 1E+08 1.06621E-17
0.41 10e-15 2 1E+08 1.14876E-17
0.42 0.125e-15 47 2.35E+09 1.78474E-18
0.42 0.25e-15 29 1.45E+09 2.22227E-18
0.42 0.5e-15 16 8E+08 2.65401E-18
0.42 1e-15 8 4E+08 3.90307E-18
0.42 2e-15 4 2E+08 6.94277E-18
0.42 3e-15 3 1.5E+08 7.48049E-18
0.42 4e-15 3 1.5E+08 8.17512E-18
0.42 5e-15 2 1E+08 9.74067E-18
0.42 6e-15 2 1E+08 9.70658E-18
0.42 7e-15 2 1E+08 1.06703E-17
0.42 8e-15 2 1E+08 1.06507E-17
0.42 9e-15 2 1E+08 1.16056E-17
0.42 10e-15 2 1E+08 1.15929E-17
0.43 0.125e-15 38 1.9E+09 2.3539E-18
0.43 0.25e-15 23 1.15E+09 2.81829E-18
0.43 0.5e-15 16 8E+08 2.85449E-18
0.43 1e-15 8 4E+08 4.14337E-18
0.43 2e-15 4 2E+08 6.62622E-18
0.43 3e-15 3 1.5E+08 8.02819E-18
0.43 4e-15 3 1.5E+08 7.92735E-18
0.43 5e-15 2 1E+08 1.04012E-17
0.43 6e-15 2 1E+08 1.28038E-17
0.43 7e-15 2 1E+08 1.14019E-17
0.43 8e-15 2 1E+08 1.14153E-17
0.43 9e-15 2 1E+08 1.25596E-17
0.43 10e-15 2 1E+08 1.2602E-17
0.44 0.125e-15 56 2.8E+09 2.06155E-18
0.44 0.25e-15 28 1.4E+09 2.56898E-18
0.44 0.5e-15 15 7.5E+08 3.38539E-18
0.44 1e-15 7 3.5E+08 5.68841E-18
0.44 2e-15 4 2E+08 7.03702E-18
0.44 3e-15 3 1.5E+08 8.72521E-18
0.44 4e-15 3 1.5E+08 8.61697E-18
0.44 5e-15 2 1E+08 1.12483E-17
0.44 6e-15 2 1E+08 1.12774E-17
0.44 7e-15 2 1E+08 1.22005E-17
0.44 8e-15 2 1E+08 1.24082E-17
0.44 9e-15 2 1E+08 1.23783E-17
0.44 10e-15 2 1E+08 1.35316E-17
0.45 0.125e-15 57 2.85E+09 2.2862E-18
0.45 0.25e-15 26 1.3E+09 2.96588E-18
0.45 0.5e-15 15 7.5E+08 3.24726E-18
0.45 1e-15 7 3.5E+08 7.26304E-18
0.45 2e-15 4 2E+08 7.44605E-18
0.45 3e-15 3 1.5E+08 9.44308E-18
0.45 4e-15 3 1.5E+08 9.35125E-18
0.45 5e-15 2 1E+08 1.20069E-17
0.45 6e-15 2 1E+08 1.22273E-17
0.45 7e-15 2 1E+08 1.21825E-17
0.45 8e-15 2 1E+08 1.34443E-17
0.45 9e-15 2 1E+08 1.34306E-17
0.45 10e-15 2 1E+08 1.46208E-17
0.46 0.125e-15 50 2.5E+09 2.68587E-18
0.46 0.25e-15 28 1.4E+09 2.90962E-18
0.46 0.5e-15 15 7.5E+08 3.81741E-18
0.46 1e-15 8 4E+08 5.04553E-18
0.46 2e-15 5 2.5E+08 6.55564E-18
0.46 3e-15 3 1.5E+08 1.01616E-17
0.46 4e-15 3 1.5E+08 1.0128E-17
0.46 5e-15 2 1E+08 1.18254E-17
0.46 6e-15 2 1E+08 1.32223E-17
0.46 7e-15 2 1E+08 1.31823E-17
0.46 8e-15 2 1E+08 1.44685E-17
0.46 9e-15 2 1E+08 1.45397E-17
0.46 10e-15 2 1E+08 1.45009E-17
0.47 0.125e-15 55 2.75E+09 2.77081E-18
0.47 0.25e-15 23 1.15E+09 4.07478E-18
0.47 0.5e-15 13 6.5E+08 4.59623E-18
0.47 1e-15 8 4E+08 5.36784E-18
0.47 2e-15 5 2.5E+08 7.07343E-18
0.47 3e-15 3 1.5E+08 1.08062E-17
0.47 4e-15 3 1.5E+08 1.09483E-17
0.47 5e-15 2 1E+08 1.27569E-17
0.47 6e-15 2 1E+08 1.42458E-17
0.47 7e-15 2 1E+08 1.42343E-17
0.47 8e-15 2 1E+08 1.41835E-17
0.47 9e-15 2 1E+08 1.56977E-17
0.47 10e-15 2 1E+08 1.5666E-17
0.48 0.125e-15 55 2.75E+09 3.07306E-18
0.48 0.25e-15 27 1.35E+09 3.72085E-18
0.48 0.5e-15 13 6.5E+08 4.81078E-18
0.48 1e-15 8 4E+08 5.8352E-18
0.48 2e-15 4 2E+08 1.02156E-17
0.48 3e-15 3 1.5E+08 1.14097E-17
0.48 4e-15 3 1.5E+08 1.18098E-17
0.48 5e-15 2 1E+08 1.37361E-17
0.48 6e-15 2 1E+08 1.52337E-17
0.48 7e-15 2 1E+08 1.53375E-17
0.48 8e-15 2 1E+08 1.52796E-17
0.48 9e-15 2 1E+08 1.68795E-17
0.48 10e-15 2 1E+08 1.68888E-17
0.49 0.125e-15 50 2.5E+09 3.56337E-18
0.49 0.25e-15 22 1.1E+09 4.80918E-18
0.49 0.5e-15 14 7E+08 4.6971E-18
0.49 1e-15 8 4E+08 6.06095E-18
0.49 2e-15 5 2.5E+08 8.18421E-18
0.49 3e-15 3 1.5E+08 1.20235E-17
0.49 4e-15 3 1.5E+08 1.27082E-17
0.49 5e-15 2 1E+08 1.47595E-17
0.49 6e-15 2 1E+08 1.60276E-17
0.49 7e-15 2 1E+08 1.64857E-17
0.49 8e-15 2 1E+08 1.64293E-17
0.49 9e-15 2 1E+08 1.79123E-17
0.49 10e-15 2 1E+08 1.81504E-17
0.5 0.125e-15 57 2.85E+09 3.60046E-18
0.5 0.25e-15 27 1.35E+09 4.14339E-18
0.5 0.5e-15 14 7E+08 5.11009E-18
0.5 1e-15 7 3.5E+08 6.79394E-18
0.5 2e-15 4 2E+08 9.65139E-18
0.5 3e-15 3 1.5E+08 1.25966E-17
0.5 4e-15 2 1E+08 1.59388E-17
0.5 5e-15 2 1E+08 1.58328E-17
0.5 6e-15 2 1E+08 1.57513E-17
0.5 7e-15 2 1E+08 1.76705E-17
0.5 8e-15 2 1E+08 1.76317E-17
0.5 9e-15 2 1E+08 1.75647E-17
0.5 10e-15 1 5E+07 2.28881E-17
0.51 0.125e-15 52 2.6E+09 4.07731E-18
0.51 0.25e-15 25 1.25E+09 4.69225E-18
0.51 0.5e-15 12 6E+08 6.41202E-18
0.51 1e-15 7 3.5E+08 7.21037E-18
0.51 2e-15 4 2E+08 1.22416E-17
0.51 3e-15 3 1.5E+08 1.32982E-17
0.51 4e-15 2 1E+08 1.70395E-17
0.51 5e-15 2 1E+08 1.69561E-17
0.51 6e-15 2 1E+08 1.68559E-17
0.51 7e-15 2 1E+08 1.88633E-17
0.51 8e-15 2 1E+08 1.88856E-17
0.51 9e-15 2 1E+08 2.08117E-17
0.51 10e-15 1 5E+07 2.44549E-17
0.52 0.125e-15 53 2.65E+09 4.47081E-18
0.52 0.25e-15 23 1.15E+09 5.61625E-18
0.52 0.5e-15 12 6E+08 8.4588E-18
0.52 1e-15 7 3.5E+08 8.64153E-18
0.52 2e-15 4 2E+08 1.29111E-17
0.52 3e-15 3 1.5E+08 1.4034E-17
0.52 4e-15 2 1E+08 1.81463E-17
0.52 5e-15 2 1E+08 1.81259E-17
0.52 6e-15 2 1E+08 1.80111E-17
0.52 7e-15 2 1E+08 1.99526E-17
0.52 8e-15 2 1E+08 2.01914E-17
0.52 9e-15 2 1E+08 2.01162E-17
0.52 10e-15 1 5E+07 2.60851E-17
